conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1972244708593439122,Sun Sep 28 10:45:41 +0000 2025,0,@blessedorbit 10 rebu uang sekali jajan aku beli keripik2an d warung.,1972251359299911958,,blessedorbit,in,,0,1,0,https://x.com/undefined/status/1972251359299911958,765859339416457218,
1972135135614005642,Sun Sep 28 09:47:57 +0000 2025,2,@phi1dunphy @insomnia_clips @hikaripulse @roblox_fess combo body bayi TAPI dandanan biduan bukan bayi doang. kalo body bayi dan dadanan imut/bayi juga ya senada. ga ada yang komenin itu. -1 reading comprehension.,1972236830830637233,,phi1dunphy,in,,0,1,0,https://x.com/undefined/status/1972236830830637233,1634621142920228865,
1972227895675527262,Sun Sep 28 09:12:27 +0000 2025,0,gw gak mau nipu diri gw sendiri.,1972227895675527262,,,in,,0,0,0,https://x.com/undefined/status/1972227895675527262,765859339416457218,
1972218362035163316,Sun Sep 28 08:34:34 +0000 2025,0,Solusi Insomnia Susah Tidur Meningkatkan Kualitas Tidur. Permen jeli harga Rp69.999. https://t.co/SkJn49qGWn https://t.co/O5kS6tTpz4,1972218362035163316,https://pbs.twimg.com/media/G166JbCacAAdbzh.jpg,,in,,0,0,0,https://x.com/undefined/status/1972218362035163316,1725176348249833472,
1972202876090175541,Sun Sep 28 08:11:49 +0000 2025,0,@Amiwithbts7 Mere ghar,1972212639301620190,,Amiwithbts7,in,,0,1,0,https://x.com/undefined/status/1972212639301620190,1849014076351127552,
1972210090083340407,Sun Sep 28 08:01:42 +0000 2025,0,Di jual rumah di Jeruk Purut Jakarta Selatan Spesifikasi rumah : Luas tanah : 1.111 m² Luas bangunan : 348 m² Kamar utama : 3 Kamar art : 2 Kamar mandi : 3 Dapur : 2 Ruang tamu : 1 Ruang keluarga : 1 Ruang makan : 1 Parkir mobil Listrik : 7.700 Watt Air sumur pompa. https://t.co/h1kPF7G7Lg,1972210090083340407,https://pbs.twimg.com/media/G16yngwbAAARjMZ.jpg,,in,,1,0,0,https://x.com/undefined/status/1972210090083340407,1781223220047380480,
1972192904329548243,Sun Sep 28 07:57:07 +0000 2025,0,@Ex_insomnia aman berarti ya ok deh,1972208938788835433,,Ex_insomnia,in,,0,0,0,https://x.com/undefined/status/1972208938788835433,1292413757897846784,
1972180380695576855,Sun Sep 28 07:34:53 +0000 2025,0,@znvnnie Siang,1972203344581329293,,znvnnie,in,,0,0,0,https://x.com/undefined/status/1972203344581329293,1781223220047380480,
1972192904329548243,Sun Sep 28 07:10:05 +0000 2025,0,@berrybluszh mendung doang,1972197102097965349,,berrybluszh,in,,0,1,0,https://x.com/undefined/status/1972197102097965349,765859339416457218,
1972196877518229760,Sun Sep 28 07:09:11 +0000 2025,0,kok dana gak bisa ngirim ke shoope pay ya ?,1972196877518229760,,,in,,0,0,0,https://x.com/undefined/status/1972196877518229760,765859339416457218,
1972190435230863536,Sun Sep 28 07:09:05 +0000 2025,0,@aiakakiaki Weh spill aku yg punya insomnia ini need it,1972196848795635881,,aiakakiaki,in,,0,1,0,https://x.com/undefined/status/1972196848795635881,1089385640548954112,
1972193828263342110,Sun Sep 28 06:57:04 +0000 2025,8,Amorim cocok sih jadi pejabat di Indonesia.,1972193828263342110,,,in,,1,1,4,https://x.com/undefined/status/1972193828263342110,52029529,
1972191456573235603,Sun Sep 28 06:47:39 +0000 2025,0,Tt-tapi insomnia juga bagus chan smpe gue gak prnh lupa klo ada itu lagu :((,1972191456573235603,,,in,,0,0,0,https://x.com/undefined/status/1972191456573235603,1091856492632756224,
1972184865434226924,Sun Sep 28 06:21:27 +0000 2025,0,jalan-jalan cari angin https://t.co/dgK23sagW7,1972184865434226924,https://pbs.twimg.com/media/G16botxb0AAOMDI.jpg,,in,,0,0,0,https://x.com/undefined/status/1972184865434226924,765859339416457218,
1972179759036879263,Sun Sep 28 06:01:10 +0000 2025,0,Sejenak aku lupa ada insomnia ,1972179759036879263,,,in,,0,0,0,https://x.com/undefined/status/1972179759036879263,1712678699785699328,
1972178797626872213,Sun Sep 28 05:57:21 +0000 2025,0,Lapar... jalan dulu nyari penumpang biar bisa makan.. bismillah. Semoga dicukupkan rejekinya hari ini.. hehehe apa itu tanggalan merah dan akhir pekan..,1972178797626872213,,,in,,0,0,0,https://x.com/undefined/status/1972178797626872213,1781223220047380480,
1972132739232285042,Sun Sep 28 05:52:24 +0000 2025,0,@nina_cn11 Ssmangat dan jangan lupa makan siang,1972177551142670665,,nina_cn11,in,,0,0,0,https://x.com/undefined/status/1972177551142670665,1781223220047380480,
1972135135614005642,Sun Sep 28 05:30:11 +0000 2025,3,@hikaripulse @insomnia_clips @roblox_fess mjb itu bukan dibuka resletingnya body mini kan udah sekalian ada cd nya. kalo dipakein baju klasik cd-nya tembus makanya jadi kaya gitu,1972171961188208813,,hikaripulse,in,,0,0,0,https://x.com/undefined/status/1972171961188208813,534943869,
1972135135614005642,Sun Sep 28 05:21:11 +0000 2025,0,@insomnia_clips @roblox_fess itu resletingnya kenapa dibuka ,1972169695861395964,,insomnia_clips,in,,0,1,0,https://x.com/undefined/status/1972169695861395964,1409728166,
1972135135614005642,Sun Sep 28 04:59:59 +0000 2025,2,@insomnia_clips @roblox_fess itu fungsi CD lingerie merah diluar buat apaan? ,1972164363248455970,,insomnia_clips,in,,0,1,0,https://x.com/undefined/status/1972164363248455970,1409728166,
1972135135614005642,Sun Sep 28 04:57:01 +0000 2025,0,@insomnia_clips @hikaripulse @roblox_fess Ini mah gak toomuch kek punya sender masih relate,1972163614728770026,,insomnia_clips,in,,0,0,0,https://x.com/undefined/status/1972163614728770026,1556662683189260288,
1972154396021826010,Sun Sep 28 04:20:23 +0000 2025,0,Lah yeoboku kpopers wkwk. Insomnia once uaena suka tripleS. Semuanya d suka sma dia smpai beli albumnya jga wkwk klau skrang udh nggk wota lgi udh pensiun,1972154396021826010,,,in,,0,0,0,https://x.com/undefined/status/1972154396021826010,2791480328,
1972140371380732273,Sun Sep 28 04:17:10 +0000 2025,0,Surya insomnia mirip Joss wayar cok JOSSGAWIN INVINCIBLE #JossGawinFancon,1972153588463108240,,loveguavacherry,in,,0,0,0,https://x.com/undefined/status/1972153588463108240,1300954669582184448,
1972149826730315945,Sun Sep 28 04:02:14 +0000 2025,0,Nggaaaaa insomnia juga bagus sayangggg,1972149826730315945,,,in,,0,0,0,https://x.com/undefined/status/1972149826730315945,1809612649321361411,
1972133139540771025,Sun Sep 28 02:55:55 +0000 2025,3,insomnia gang,1972133139540771025,,,in,,0,0,0,https://x.com/undefined/status/1972133139540771025,210621000,
1935293013783416990,Sun Sep 28 02:13:50 +0000 2025,0,@vivzeuna Woiya dong. Kalau nggak cakep nanti mana mungkin InSomnia terus terpikat ke aku. Tujuan muliaku adalah biar mereka terus setia sama kami. Nggak bakalan ngejar kok! Kamu yang tendang nanti aku pegangin tali kekangnya biar nggak ngejar kamu (risiko ditanggung pribadi).,1972122550626144531,,vivzeuna,in,,0,1,0,https://x.com/undefined/status/1972122550626144531,1304775633076011008,
1972114832033042572,Sun Sep 28 01:43:10 +0000 2025,6,Ada yang takut haechan selama hiatus nggak bisa ngelakuin hobinya tenang aja ini lee haechan banyak hal yang bisa dia lakuin semoga kalian nggak lupa gimana insomnia bisa kebentuk. Setelah ini kita bakal ketemu lee haechan yang lebih kuat lebih berani jadi ayo sembuh bareng,1972114832033042572,,,in,,0,0,0,https://x.com/undefined/status/1972114832033042572,1720424232407224320,
1972106646798455136,Sun Sep 28 01:10:39 +0000 2025,0,aku akhir2 ini insomnia tapi semangat ngopi nya gapernah pudar,1972106646798455136,,,in,,0,0,0,https://x.com/undefined/status/1972106646798455136,3281141762,
